duration,src_bytes,dst_bytes,wrong_fragment,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,attack_binary
303,5423,13407,1,50,9,0.497011949,0.522519192,0.464598597,0.604953923,1
270,4548,7805,1,80,4,0.765356281,0.732271807,0.680456626,0.318111554,0
455,3108,5237,0,4,22,0.102981479,0.003346362,0.395545084,0.866438668,1
461,7158,559,0,28,9,0.334362811,0.467310767,0.974699852,0.993336937,0
214,7400,3672,0,3,43,0.075503364,0.297002876,0.721887628,0.752427763,1
251,3170,12775,1,9,1,0.753246221,0.852821822,0.656983858,0.090481695,1
189,9874,7404,2,55,12,0.272301855,0.715553315,0.757059268,0.288685596,1
295,2255,13184,0,16,39,0.89743041,0.589108534,0.952648638,0.109109632,0
212,1154,3343,0,73,1,0.526578467,0.277265646,0.907818653,0.650511648,1
207,4499,13500,1,16,83,0.800749771,0.910339102,0.724285308,0.765190865,1
236,6295,4070,0,83,64,0.978931436,0.045100677,0.749161639,0.925674831,1
337,6197,12991,2,87,62,0.839788859,0.109467599,0.145922074,0.438172346,0
366,9888,9662,2,68,72,0.86699376,0.391630141,0.102792404,0.90137565,0
52,1648,580,0,33,16,0.407984495,0.124437557,0.570904502,0.877891159,1
279,5539,7004,0,5,8,0.551722595,0.956415698,0.018367637,0.317195717,0
409,9637,10486,1,52,74,0.253888564,0.797989322,0.482356382,0.868900626,1
216,4199,8130,2,65,14,0.1961131,0.258982652,0.21034958,0.375672252,1
251,8445,3147,2,76,23,0.505507879,0.588554229,0.346016568,0.296869275,1
187,2557,4249,0,42,37,0.59504898,0.982330515,0.775804736,0.649074659,1
379,5592,1679,1,74,34,0.339271246,0.884198978,0.941237504,0.328381228,1
492,98,3506,2,22,93,0.569443518,0.600798446,0.072416272,0.630208748,1
40,2200,13284,2,54,94,0.887460483,0.903723967,0.534242206,0.609831805,1
156,2961,7253,1,79,48,0.556721585,0.98918491,0.882533486,0.563438927,0
14,4973,2744,1,94,68,0.720813096,0.743352823,0.082508534,0.380419704,0
300,4433,11548,2,74,61,0.805314967,0.064986409,0.824514047,0.548499722,0
64,2869,12237,2,15,59,0.988728782,0.401580236,0.357801351,0.596485475,0
344,956,9435,1,7,49,0.603197402,0.837825735,0.322094702,0.545686888,0
326,8352,5188,2,3,77,0.806850149,0.230569196,0.977466386,0.444419453,0
8,5699,11310,0,3,74,0.962649319,0.830642518,0.20085909,0.014667057,0
343,6944,13296,0,55,8,0.944409726,0.120338762,0.693193941,0.587061708,1
128,4493,2141,1,24,33,0.141081849,0.046945357,0.821440728,0.168444385,1
491,9492,14061,1,66,75,0.406392308,0.384090611,0.041183495,0.642575969,1
135,4911,13245,1,95,98,0.323990061,0.036731937,0.670385458,0.759344328,1
471,3987,11251,0,66,34,0.086925015,0.957270263,0.951549974,0.500445309,0
62,9719,12740,2,26,0,0.633240775,0.826205696,0.124219967,0.542363665,0
138,6015,13515,0,92,39,0.735904613,0.800769687,0.896221303,0.95147856,1
498,1218,11151,2,31,63,0.848128095,0.629777923,0.594776637,0.847167361,1
80,4496,10457,0,49,21,0.12277689,0.216324023,0.616604582,0.914236516,0
391,4735,6617,2,60,59,0.876444076,0.518260367,0.612944175,0.813766288,1
162,4555,2479,0,50,63,0.642925564,0.597274072,0.298835886,0.108918342,1
418,9146,6484,1,18,92,0.703946135,0.525031501,0.935201815,0.148991856,1
288,8050,12838,0,20,71,0.910624004,0.260233368,0.947350463,0.526623797,1
378,3446,9827,2,4,10,0.624761271,0.515247924,0.62530466,0.246069659,0
260,1045,13600,0,81,13,0.335865857,0.491186341,0.783422726,0.476695475,1
489,6893,7421,0,91,59,0.825107331,0.996335776,0.612257986,0.394365324,1
230,1693,9949,0,41,29,0.363059212,0.897436148,0.484398448,0.549414238,0
40,3436,4452,1,60,34,0.034228111,0.463380748,0.660820118,0.746875716,0
27,8754,10262,0,21,84,0.830654507,0.622937383,0.553001453,0.715490907,1
134,5895,5881,1,20,36,0.345192145,0.747871604,0.597475863,0.521234132,0
200,3354,6665,1,69,4,0.773834523,0.03486516,0.783832553,0.822393419,1
327,225,14069,0,0,82,0.362757895,0.894921441,0.480903831,0.430862092,1
267,4893,2849,0,4,77,0.86106802,0.860126816,0.040754106,0.89671429,0
417,7022,11443,0,11,25,0.219510525,0.457432098,0.163999481,0.07128027,1
32,9151,7390,2,89,61,0.974547265,0.391169766,0.438607216,0.95466003,1
47,5600,6905,0,45,3,0.779758775,0.272959375,0.72482656,0.654693081,1
406,7996,11922,1,33,88,0.114237926,0.476676828,0.593278648,0.380074509,1
61,9007,2489,0,48,41,0.56577662,0.044376664,0.650294186,0.197154127,0
215,7683,9823,2,77,88,0.985367312,0.852193533,0.479278929,0.479183229,0
292,4642,11008,0,89,17,0.471065453,0.035422368,0.615742022,0.194558323,1
98,7679,9207,2,44,39,0.182107139,0.329051365,0.329017438,0.166331608,0
171,8208,9540,2,26,71,0.484778367,0.931589488,0.470182593,0.617351757,1
359,7339,4611,0,72,38,0.512457656,0.735212655,0.744279066,0.523084725,1
213,9435,11279,1,25,13,0.741686944,0.281390961,0.871832779,0.670096035,1
474,2205,2839,2,46,31,0.698845853,0.252649094,0.433655334,0.929605877,1
34,1069,8527,0,85,50,0.402550044,0.00508214,0.043661658,0.532260213,1
448,3444,5878,0,55,37,0.218023107,0.695714293,0.161672544,0.580932053,0
226,1060,14593,1,93,96,0.645054168,0.048783582,0.020861139,0.089626339,1
100,2327,12784,2,62,22,0.421703935,0.532602519,0.653263019,0.717635786,0
430,3420,9087,2,47,62,0.132276211,0.962121973,0.332314625,0.399905207,0
461,301,6303,0,60,14,0.900572301,0.10946886,0.542478636,0.976725239,1
130,606,11738,0,80,96,0.691221858,0.894479931,0.493276847,0.823174016,1
256,3170,851,1,25,24,0.683183856,0.991475335,0.08152649,0.522481041,1
4,699,1687,1,35,16,0.822583876,0.061517026,0.403261361,0.123222654,1
217,5088,10123,2,0,96,0.529661679,0.882906269,0.220561125,0.859415793,1
254,9331,6833,2,7,65,0.815054428,0.51607902,0.418399789,0.799781095,0
397,190,11938,0,98,77,0.498090754,0.906513719,0.20357828,0.18458513,1
358,980,2427,2,51,52,0.0671754,0.571318942,0.840452406,0.295278289,1
282,2975,9760,1,78,50,0.405248088,0.66211201,0.174193337,0.793407258,0
392,6102,4000,1,46,38,0.497464894,0.543778908,0.960780551,0.185228447,0
206,1184,5052,0,55,50,0.720202582,0.86449288,0.415907366,0.917752489,1
14,3327,2738,1,85,69,0.10657873,0.733909919,0.846245292,0.424527425,0
345,3394,11690,1,13,5,0.140018539,0.521260312,0.628764818,0.087038963,1
41,8319,5732,1,89,66,0.263683803,0.868160804,0.735350299,0.815748644,0
379,1816,5387,1,27,6,0.266498393,0.245285532,0.767723888,0.373509683,0
460,5854,8002,0,86,50,0.732184578,0.15734066,0.504844882,0.526499194,1
178,6709,5536,0,77,71,0.250730661,0.160400105,0.543300523,0.112304344,0
62,569,13479,2,87,41,0.633098063,0.334008879,0.513995868,0.002584015,0
351,5442,3913,1,1,63,0.49427385,0.238690031,0.588058378,0.637985206,0
230,1895,1066,2,25,14,0.573294378,0.930090351,0.029394446,0.51517517,0
240,2733,7723,0,13,28,0.838106963,0.105834094,0.39551517,0.593538569,0
51,3863,4380,0,58,32,0.404381502,0.698990738,0.606188714,0.79374385,0
95,7455,10636,0,55,93,0.770911377,0.18922154,0.597723565,0.646605913,1
387,4014,4107,0,6,26,0.42203606,0.881637133,0.792956095,0.174773443,1
221,1686,5726,0,2,35,0.353871377,0.961315288,0.655009339,0.360772519,0
484,3009,3373,0,22,28,0.958627177,0.465470009,0.992133316,0.905891105,1
406,7806,12161,0,17,37,0.184370921,0.87907148,0.283854529,0.7699447,1
